Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
"Murillo M.A., Liboon C.A., Quartz K.H.",,Immigrant family legal clinic: A case of integrated student supports in a community school context,2021,InterActions: UCLA Journal of Education and Information Studies,,,,,,,1,,,,"Murillo, M.A.; Liboon, C.A.; Quartz, K.H.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85118547468
Valdes M.C.,,A review of daily conversations and practices at home: Exploring practices that promote early literacy in Spanish-speaking homes and home-school interactions,2020,Interactions: UCLA Journal of Education and Information Studies,16,1,,,,,1,,,,"Valdes, M.C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85108104741
Helkenberg Davin L.,,Paul Kwiatkowski’s and Every Day Was Overcast and Redefining Young Adult Literature,2018,InterActions: UCLA Journal of Education and Information Studies,15,1,,,,,1,,,,"Helkenberg, Davin L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85096653504
Tsang T.,,The role of faculty and peer interactions in supporting humanities students’ persistence and post-graduation aspirations: A case study,2018,Interactions: UCLA Journal of Education and Information Studies,14,2,,,,,1,,,,"Tsang, T.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85096012385
"Coronado H.M., Paredes A.D.",,From invisible to visible: Documenting the voices and resilience of Central American students in U.S. schools,2018,Interactions: UCLA Journal of Education and Information Studies,15,1,,,,,3,,,,"Coronado, H.M.; Paredes, A.D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85086280081
Carranza J.L.,,Discovering pride and enthusiasm at a dual immersion school,2018,InterActions: UCLA Journal of Education and Information Studies,14,1,,1,17,,1,,,,"Carranza, J.L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85125571371
Barillas-Chón D.,,Ref/lecciones: Lessons for my hijo and other children and indigenous immigrants,2018,Interactions: UCLA Journal of Education and Information Studies,15,1,,1,19,,2,,,,"Barillas-Chón, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85098478531
"Alcalá Janet Ceja, Colón-Aguirre Mónica, Cooke Nicole, Stewart Brenton",,A Critical Dialogue: Faculty of Color in Library and Information Science,2017,InterActions: UCLA Journal of Education and Information Studies,13,2,,1,14,,1,,,,"Alcalá, Janet Ceja; Colón-Aguirre, Mónica; Cooke, Nicole; Stewart, Brenton",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85095695316
Maldonado K.,,Review of Catching a Case: Inequality and Fear in New York City's Child Welfare System by Tina Lee,2017,InterActions: UCLA Journal of Education and Information Studies,13,1,,,,,1,,,,"Maldonado, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85115954451
"Ceja Alcalá J., Colón-Aguirre M., Cooke N.A., Stewart B.",,A critical dialogue: Faculty of color in library and information science,2017,InterActions: UCLA Journal of Education and Information Studies,13,2,,,,,5,,,,"Ceja Alcalá, J.; Colón-Aguirre, M.; Cooke, N.A.; Stewart, B.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85071626509
Harris V.,,"Nelson Mandela, Memory, and the Work of Justice",2017,InterActions: UCLA Journal of Education and Information Studies,,,,,,,1,,,,"Harris, V.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85064178467
"Paris B.S., Pierre J.",,Naming experience: Registering resistance and mobilizing change with qualitative tools,2017,InterActions: UCLA Journal of Education and Information Studies,13,1,,,,,3,,,,"Paris, B.S.; Pierre, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85106678688
Campos M.,,Mentoring away the glass ceiling in academia: a cultured critique,2016,InterActions: UCLA Journal of Education and Information Studies,12,,,53,2294,,1,,,,"Campos, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85097458758
"Liou D.D., Tyson E.J M., Antrop-Gonzalez R.",,The Spatiality of Schooling: A quest for equitable classrooms and high expectations for low-income students of color,2016,InterActions: UCLA Journal of Education and Information Studies,12,2,,1,,,3,,,,"Liou, D.D.; Tyson E.J, M.; Antrop-Gonzalez, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85001964775
Pierre J.,,‘The Myth of Oneness’: Erasure of Indigenous and Ethnic Identities in Digital Feminist Discourse,2016,InterActions: UCLA Journal of Education and Information Studies,12,1,,1,19,,1,,,,"Pierre, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85027015441
"Garcia P., Scott K.",,Traversing a political pipeline: An intersectional and social constructionist approach toward technology education for girls of color,2016,InterActions: UCLA Journal of Education and Information Studies,12,2,,1,25,,10,,,,"Garcia, P.; Scott, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85045189919
Montoya R.,,"Review: Boundary objects and beyond: Working with Leigh Star, edited by Geoffrey C. Bowker, Stefan Timmermans, Adele E. Clarke, and Ellen Balka",2016,Interactions: UCLA Journal of Education and Information Studies,12,2,,,,,2,,,,"Montoya, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85066072951
Stein S.,,Rethinking the ethics of internationalization: Five challenges for higher education,2016,Interactions: UCLA Journal of Education and Information Studies,12,2,,1,23,,13,,,,"Stein, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85011334473
Doolan E.,,Textiles of Change: How Arpilleras Can Expand Traditional Definitions of Records,2016,InterActions: UCLA Journal of Education and Information Studies,12,1,,1,14,,3,,,,"Doolan, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85052021935
Letizia A.,,Revitalizing higher education and the commitment to the public good: A literature review,2015,InterActions: UCLA Journal of Education and Information Studies,11,2,,1,20,,3,,,,"Letizia, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85021099064
Rodriguez Vega S.,,From barbies to boycotts: How immigration raids in Arizona created a ten-year-old activist,2015,InterActions: UCLA Journal of Education and Information Studies,11,2,,,,,2,,,,"Rodriguez Vega, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85090262372
"Crooks R., Contreras I., Besser K.",,Herstory Belongs to Everybody or The Miracle: A Queer Mobile Memory Project,2015,Interactions: UCLA Journal of Education and Information Studies,11,2,,,,,2,,,,"Crooks, R.; Contreras, I.; Besser, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85052205323
Zúñiga C. E.,,""" This is what is happening to my students"": Using book talk to mediate teacher discussion on immigration and social justice",2015,InterActions: UCLA Journal of Education and Information Studies,11,1,,,,,1,,,,"Zúñiga, C. E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85128485587
"Velasco S., Carlos F., Mazumder T., Enriquez L.",,‘It’s Not Just a Latino Issue’: Policy Recommendations to Better Support a Racially Diverse Population of Undocumented Students,2015,InterActions: UCLA Journal of Education and Information Studies,11,1,,1,11,,3,,,,"Velasco, S.; Carlos, F.; Mazumder, T.; Enriquez, L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85042874702
Chtena N.,,Massive open online courses: The MOOC revolution edited by Paul Kim [Book review],2015,InterActions: UCLA Journal of Education and Information Studies,11,2,,,,,1,,,,"Chtena, N.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85102292331
Cousik R.,,An international student's perspective: Navigating identities and conducting ethnographic fieldwork in the US,2015,InterActions: UCLA Journal of Education and Information Studies,11,2,,,,,1,,,,"Cousik, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85102200947
Gomez A.,,"An oral history of the Justice for Janitors Movement: On trauma, Central America, and the undocumented",2015,Interactions UCLA Journal of Education and Information Studies,11,1,,1,15,,1,,,,"Gomez, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85077908896
"DeRosa E., Dolby N.",,"I don't think the university knows me: Institutional culture and lower-income, firstgeneration college students",2014,Interactions: UCLA Journal of Education and Information Studies,10,2,,1,18,,9,,,,"DeRosa, E.; Dolby, N.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84946613427
"Holloway-Libell J., Collins C.",,"VAM-based teacher evaluation policies: Ideological foundations, policy mechanisms, and implications",2014,Interactions: UCLA Journal of Education and Information Studies,10,1,,,,,3,,,,"Holloway-Libell, J.; Collins, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84912115065
Cooper D.,,Rainbow Flags and Donor Tags: Queer Materials at the Pride Library,2014,Interactions: UCLA Journal of Education and Information Studies,10,2,,1,20,,6,,,,"Cooper, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84948123878
Cooke N.A.,,The Spectrum Doctoral Fellowship Program: Enhancing the LIS Professoriate,2014,InterActions: UCLA Journal of Education and Information Studies,10,1,,,,,5,,,,"Cooke, N.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84952679378
Schrock A.R.,,Education in disguise: culture of a hacker and maker space,2014,InterActions: UCLA Journal of Education and Information Studies,10,1,,1,25,,33,,,,"Schrock, A.R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84946861864
"Yamada A., Yusa T.",,Ethnic microaggressions: The experiences of Zainichi Korean students in Japan,2014,Interactions: UCLA Journal of Education and Information Studies,10,2,,,,,1,,,,"Yamada, A.; Yusa, T.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85077200794
Doty C.,,The difficulty of an ontology of live performance,2013,InterActions: UCLA Journal of Education and Information Studies,9,1,,,,,8,,,,"Doty, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84883183036
Markovich D.Y.,,Lessons learned from the study of a Jewish-Israeli high school: Critical pedagogy in contention,2013,InterActions: UCLA Journal of Education and Information Studies,9,2,,83,107,,1,,,,"Markovich, D.Y.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85101600971
Arnott A.,,An examination of institutional factors related to the use of fees at public four-year universities,2012,Interactions: UCLA Journal of Education and Information Studies,8,1,,,,,1,,,,"Arnott, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84975121641
Hoult E.C.,,Recognizing and escaping the sham: Truth claims and the fiction of academic writing about adult learning,2012,Interactions: UCLA Journal of Education and Information Studies,8,2,,1,23,,2,,,,"Hoult, E.C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85042310062
Khoja-Moolji S.S.,,"The making of violent masculinities: exploring the intersections of cultural, structural and direct violence in schools",2012,InterActions: UCLA Journal of Education and Information Studies,8,1,,,,,1,,,,"Khoja-Moolji, S.S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85123361157
Sowry N.,,"Silence, Accessibility, and Reading against the Grain: Examining Voices of the Marginalized in the India Office Records",2012,InterActions: UCLA Journal of Education and Information Studies,8,2,,1,21,,1,,,,"Sowry, N.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85007065593
"McDevitt M., Butler M.",,Latino youth as information leaders: Implications for family interaction and civic engagement in immigrant communities,2011,InterActions: UCLA Journal of Education and Information Studies,7,2,,1,27,,10,,,,"McDevitt, M.; Butler, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84866023933
Flinn A.,,"Archival activism: Independent and community-led archives, radical public history and the heritage professions",2011,InterActions: UCLA Journal of Education and Information Studies,7,2,,1,20,,82,,,,"Flinn, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84887403082
"Carducci R., Kuntz A.M., Gildersleeve R.E., Pasque P.A.",,Crafting critical space: The Disruptive Dialogue Project,2011,InterActions: UCLA Journal of Education and Information Studies,7,,,,,,2,,,,"Carducci, R.; Kuntz, A.M.; Gildersleeve, R.E.; Pasque, P.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85029507319
"Carducci R., Kuntz A., Gildersleeve R., Pasque P.A.",,The disruptive dialogue project: Crafting critical space in higher education,2011,InterActions: UCLA Journal of Education and Information Studies,7,2,,,,,3,,,,"Carducci, R.; Kuntz, A.; Gildersleeve, R.; Pasque, P.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84855844840
Keilty P.,,"Review: Critical theory for library and information science: Exploring the social from across disciplines edited by Gloria J. Leckie, Lisa M. Given, and John Buschman",2011,InterActions: UCLA Journal of Education and Information Studies,7,2,,,,,1,,,,"Keilty, P.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85042736581
Choy V.,,Kogi truck culture,2011,InterActions: UCLA Journal of Education and Information Studies,71,,,,,,1,,,,"Choy, V.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84857241505
Angara H.,,The 500 Windows Campaign: A case study of a youth movement for educational resources in South Africa,2011,Interactions: UCLA Journal of Education and Information Studies,7,2,,,,,1,,,,"Angara, H.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85012068230
Paz C.G.,,Making meaning of parental influence among Pinays in college,2011,InterActions: UCLA Journal of Education and Information Studies,7,,,1,25,,2,,,,"Paz, C.G.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85041023153
Rhoads R.A.,,The US research university as a global model: Some fundamental problems to consider,2011,Interactions: UCLA Journal of Education and Information Studies,7,2,,,,,14,,,,"Rhoads, R.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84875873544
Day R.,,"The self-imposed limits of library and information science: Remarks on the discipline, on the profession, on the university, and on the state of ""information"" in the U.S. at large today",2010,InterActions: UCLA Journal of Education and Information Studies,6,2,,1,15,,10,,,,"Day, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84870045377
Metcalf H.,,Stuck in the pipeline: A critical review of STEM workforce literature,2010,InterActions: UCLA Journal of Education and Information Studies,6,2,,1,20,,59,,,,"Metcalf, H.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-79958796450
DiAngelo R.J.,,Why can’t we all just be individuals?: Countering the discourse of individualism in anti-racist education,2010,InterActions: UCLA Journal of Education and Information Studies,6,1,,1,24,,23,,,,"DiAngelo, R.J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84911807142
McLaren P.,,Revolutionary critical pedagogy,2010,InterActions: UCLA Journal of Education and Information Studies,6,2,,1,11,,21,,,,"McLaren, P.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84858686592
Lau A.,,Review: The big archive: Art from bureaucracy by sven spieker,2009,InterActions: UCLA Journal of Education and Information Studies,5,,,1,,,1,,,,"Lau, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85056700924
Kim G.,,The future of YouTube: Critical reflections on youtube users' discussion over its future,2009,Interactions: UCLA Journal of Education and Information Studies,5,2,,1,30,,6,,,,"Kim, G.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84860323735
Cox R.J.,,Unpleasant things: Teaching advocacy in archival education programs,2009,InterActions: UCLA Journal of Education and Information Studies,5,1,,,,,8,,,,"Cox, R.J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-77956018869
Henning N.,,Review: “What about Rose?” Using teacher research to reverse school failure,2009,InterActions: UCLA Journal of Education and Information Studies,5,1,,199,203,,1,,,,"Henning, N.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84962518424
Liu A.,,"Critical race theory, Asian Americans, and higher education: A review of research",2009,InterActions: UCLA Journal of Education and Information Studies,5,2,,1,12,,14,,,,"Liu, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84893377400
Misiaszek G.W.,,Review: Why care for nature? In search of an ethical framework for environmental responsibility and education by Dirk Willem Postma,2009,InterActions: UCLA Journal of Education and Information Studies,5,1,,,,,1,,,,"Misiaszek, G.W.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85041920095
"Owen J.M., Hernandez C.J.",,"Latina/o traditional medicine in los angeles: Asking about, archiving, and advocating cultural resources",2009,InterActions: UCLA Journal of Education and Information Studies,5,1,,,,,1,,,,"Owen, J.M.; Hernandez, C.J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85079274412
Hamdan A.K.,,Narrative inquiry as a decolonizing methodology,2009,Interactions: UCLA Journal of Education and Information Studies,5,2,,1,20,,4,,,,"Hamdan, A.K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85008625742
"Gilliland-Swetland A., White K.",,Perpetuating and extending the archival paradigm: The historical and contemporary roles of professional education and pedagogy,2009,InterActions: UCLA Journal of Education and Information Studies,5,,,1,23,,1,,,,"Gilliland-Swetland, A.; White, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85039683794
Stehle M.,,Psycho-Geography as teaching tool: Troubled travels through an experimental first year seminar,2008,InterActions: UCLA Journal of Education and Information Studies,4,2,,,,,3,,,,"Stehle, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84859313609
Lau J.A.,,"Burning down the shelf: Standardized classification, folksonomies, and ontological politics",2008,InterActions: UCLA Journal of Education and Information Studies,4,,,,,,2,,,,"Lau, J.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-78751661752
Robertson S.,,Cultural probes in transmigrant research: A case study,2008,InterActions: UCLA Journal of Education and Information Studies,4,2,,,,,7,,,,"Robertson, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84926082165
Rodríguez L.F.,,Ive never heard of the word pedagogy before:” Using liberatory pedagogy to forge hope for teachers in our nation’s public schools,2008,InterActions: UCLA Journal of Education and Information Studies,4,2,,,,,3,,,,"Rodríguez, L.F.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84942804848
Johnstone B.,,Cuba's Education System: A Beacon of Light in Latin America Facing an Uncertain Future,2008,InterActions: UCLA Journal of Education and Information Studies,4,,,,,,2,,,,"Johnstone, B.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-70349538894
Crispin J.J.,,Review: Understanding Knowledge as a Commons: From Theory to Practice. eds. Charlotte Hess and Elinor Ostrom,2008,Interactions: UCLA Journal of Education and Information Studies,4,2,,1,3,,1,,,,"Crispin, J.J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85017575624
Cabrera N.L.,,"Review of the trouble with diversity, by walter benn michaels",2008,InterActions: UCLA Journal of Education and Information Studies,4,,,1,,,1,,,,"Cabrera, N.L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85045621564
Kimura-Walsh E.,,Encroaching on autonomy: The influence of the academic bill of rights on U. S. Higher education,2008,InterActions: UCLA Journal of Education and Information Studies,4,1,,1,27,,1,,,,"Kimura-Walsh, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84895671971
"Colburn D.R., Young C.E., Yellen V.M.",,"Admissions and public higher education in California, Texas, and Florida: The post-affirmative action era",2008,Interactions: UCLA Journal of Education and Information Studies,4,1,,,,,5,,,,"Colburn, D.R.; Young, C.E.; Yellen, V.M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84863199345
Quinn K.,,Exploring departmental leadership: How department chairs can be transformative leaders,2007,InterActions: UCLA Journal of Education and Information Studies,3,1,,,,,3,,,,"Quinn, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84910086043
"Diaz-Strong D., Meiners E.",,"Residents, alien policies, and resistances: Experiences of undocumented Latina/o students in Chicago's colleges and universities",2007,InterActions: UCLA Journal of Education and Information Studies,3,2,,1,20,,17,,,,"Diaz-Strong, D.; Meiners, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-70450231076
Codebò M.,,The Dossier Novel: (Post)Modern Fiction and the Discourse of the Archive,2007,InterActions: UCLA Journal of Education and Information Studies,3,1,,35,51,,2,,,,"Codebò, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84857834479
Wohlwend K.E.,,More than a child's work: Framing teacher discourse about play,2007,Interactions: UCLA Journal of Education and Information Studies,3,1,,1,25,,4,,,,"Wohlwend, K.E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-54449096592
Keilty P.,,LGBT and Information Studies: The Library and Archive OUTreach Symposium at UCLA,2007,Interactions: UCLA Journal of Education and Information Studies,3,1,,,,,2,,,,"Keilty, P.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85010344659
Kellner D.,,"Cultural studies, media spectacle, and elections 2004'",2006,Interactions: UCLA Journal of Education and Information Studies,2,1,,3,,,1,,,,"Kellner, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84883729803
Lee T.S.,,‘I Came Here to Learn How to Be a Leader’: An Intersection of Critical Pedagogy and Indigenous Education,2006,InterActions: UCLA Journal of Education and Information Studies,2,1,,,,,11,,,,"Lee, T.S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84927752402
"DiAngelo R.J., Allen D.",,My Feelings are Not about You: Personal Experience as a Move of Whiteness,2006,InterActions: UCLA Journal of Education and Information Studies,2,2,,,,,16,,,,"DiAngelo, R.J.; Allen, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-57049143693
Lee S.S.,,Over-represented and de-minoritized: The racialization of Asian Americans in higher education,2006,InterActions: UCLA Journal of Education and Information Studies,2,2,,1,16,,25,,,,"Lee, S.S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-34247331799
Hammer R.,,"Teaching Critical Media Literacies: Theory, Praxis and Empowerment",2006,Interactions: UCLA Journal of Education and Information Studies,2,1,,,,,4,,,,"Hammer, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-34248217466
"Caton-Rosser M., McGinley J.A.",,Alternative media and the learning culture of civil society: Outreach and teach strategies,2006,Interactions: UCLA Journal of Education and Information Studies,2,1,,1,19,,2,,,,"Caton-Rosser, M.; McGinley, J.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85042669985
"Valenzuela A., Jaramillo N.E.",,The politics of reform in an era of “Texas-style” accountability: An interview with Angela Valenzuela,2005,Interactions: UCLA Journal of Education and Information Studies,1,2,,,,,1,,,,"Valenzuela, A.; Jaramillo, N.E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85076448228
Swanstrom E.,,"Wax Blocks, Data Banks, and File #0467839: The Archive of Memory in William Gibsons Science Fiction""",2005,Interactions: UCLA Journal of Education and Information Studies,1,2,,1,24,,1,,,,"Swanstrom, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84949228090
Honma T.,,Trippin' over the color line: The invisibility of race in library and information studies,2005,Interactions: UCLA Journal of Education and Information Studies,1,2,,1,26,,73,,,,"Honma, T.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84860053583
[No author name available],[No author id available],"Wax blocks, data banks, and file #0467839: The archive of memory in william gibson's science fiction",2005,InterActions: UCLA Journal of Education and Information Studies,1,2,,,,,1,,,,,[No abstract available],,,,,,Final,,Scopus,2-s2.0-85031676741
Frymer B.,,"Freire, alienation, and contemporary youth: Toward a pedagogy of everyday life",2005,Interactions: UCLA Journal of Education and Information Studies,1,2,,1,16,,10,,,,"Frymer, B.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-78751536312
"Perez V.H., Gong Y.",,Increasing minority students' access to graduate schools,2005,InterActions: UCLA Journal of Education and Information Studies,1,2,,,,,4,,,,"Perez, V.H.; Gong, Y.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-54249158173
van Heertum R.,,How Objective is Objectivity? A Critique of Current Trends in Educational Research,2005,InterActions: UCLA Journal of Education and Information Studies,1,2,,5,,,4,,,,"van Heertum, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-70349681888
Mehra B.,,Service Learning in Library and Information Science (LIS) Education: Connecting Research and Practice to Community,2004,InterActions: UCLA Journal of Education and Information Studies,1,1,,,,,5,,,,"Mehra, B.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84862978499
"Hammer R., Kellner D.",,[No title available],2001,Interactions: UCLA Journal of Education and Information Studies,2,1,,,,,1,,,,"Hammer, R.; Kellner, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84991960078
Berdan J.,,The Emerging Field of Digital Humanities: An Interview with Johanna Drucker,0,Interactions: UCLA Journal of Education and Information Studies,9,2,,1,9,,3,,,,"Berdan, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85034209966
Cachola E.-R.,,"‘Archival Anxiety and Vocational Calling,’ Review of Archival Anxiety and Calling, by Richard Cox",0,InterActions: UCLA Journal of Education and Information Studies,8,2,,,,,1,,,,"Cachola, E.-R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84991964781
